 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
   2.25971413      0.723462582       4.73778105      -7.58639812    
   2.63832188       1.03724074     -0.597853720       8.92426872    
   2.91932440       2.63294554       8.32207584      -3.27766013    
   3.06106853       1.95182025       5.84882736       6.76692104    
   1.10269833      0.704027236       6.81730604       5.79002094    
   4.83524418       1.31395149       2.93581605       8.44872665    
   2.91558123       4.55274868      -3.26768756       8.32599640    
 Step           11 complete
   4.66698265       2.18908310      -4.10229158       7.94803143    
   4.30019045      0.367514461      -6.07194853      -6.56745338    
   2.93190122       3.90915728       4.64580107      -7.64307117    
   2.73349214       1.48210239       4.73778105       7.58639812    
   2.57853651       1.92966759     -0.597853720       8.92426872    
   3.75153208       2.30517960       8.32207584      -3.27766013    
   3.64595127       2.62851238       5.84882736       6.76692104    
   1.78442895       1.28302932       6.81730604       5.79002094    
   4.87117434       2.15882421      -2.93581605       8.44872665    
   2.58881235       4.61465168      -3.26768756      -8.32599640    
 Step           12 complete
   4.25675344       2.98388624      -4.10229158       7.94803143    
   3.69299555       1.02425981      -6.07194853       6.56745338    
   3.39648128       3.14485025       4.64580107      -7.64307117    
   3.20727015       2.24074221       4.73778105       7.58639812    
   2.51875114       2.82209444     -0.597853720       8.92426872    
   4.58373976       1.97741354       8.32207584      -3.27766013    
   4.23083401       3.30520439       5.84882736       6.76692104    
   2.46615958       1.86203146       6.81730604       5.79002094    
   4.57759285       3.00369692      -2.93581605       8.44872665    
   2.26204348       3.78205204      -3.26768756      -8.32599640    
 Step           13 complete
   3.84652424       3.77868938      -4.10229158       7.94803143    
   3.08580065       1.68100512      -6.07194853       6.56745338    
   3.86106133       2.38054323       4.64580107      -7.64307117    
   3.68104815       2.99938202       4.73778105       7.58639812    
   2.45896578       3.71452141     -0.597853720       8.92426872    
   4.58405256       1.64964747      -8.32207584      -3.27766013    
   4.81571674       3.98189640       5.84882736       6.76692104    
   3.14789009       2.44103360       6.81730604       5.79002094    
   4.28401136       3.84856963      -2.93581605       8.44872665    
   1.93527472       2.94945240      -3.26768756      -8.32599640    
 Step           14 complete
   3.43629503       4.57349253      -4.10229158       7.94803143    
   2.47860575       2.33775043      -6.07194853       6.56745338    
   4.32564163       1.61623609       4.64580107      -7.64307117    
   4.15482616       3.75802183       4.73778105       7.58639812    
   2.39918041       4.60694838     -0.597853720       8.92426872    
   3.75184488       1.32188141      -8.32207584      -3.27766013    
   4.59940052       4.65858841      -5.84882736       6.76692104    
   3.82962060       3.02003574       6.81730604       5.79002094    
   3.99042964       4.69344234      -2.93581605       8.44872665    
   1.60850596       2.11685276      -3.26768756      -8.32599640    
 Step           15 complete
   3.02606583       4.63170433      -4.10229158      -7.94803143    
   1.87141085       2.99449587      -6.07194853       6.56745338    
   4.79022169      0.851928949       4.64580107      -7.64307117    
   4.62860441       4.51666164       4.73778105       7.58639812    
   2.33939505       4.50062466     -0.597853720      -8.92426872    
   2.91963720      0.994115412      -8.32207584      -3.27766013    
   4.01451778       4.66471958      -5.84882736      -6.76692104    
   4.51135111       3.59903789       6.81730604       5.79002094    
   3.69684792       4.46168518      -2.93581605      -8.44872665    
   1.28173721       1.28425312      -3.26768756      -8.32599640    
 Step           16 complete
   2.61583662       3.83690119      -4.10229158      -7.94803143    
   1.26421595       3.65124130      -6.07194853       6.56745338    
   4.74519825       8.76218230E-02  -4.64580107      -7.64307117    
   4.89761734       4.72469854      -4.73778105      -7.58639812    
   2.27960968       3.60819769     -0.597853720      -8.92426872    
   2.08742952      0.666349411      -8.32207584      -3.27766013    
   3.42963505       3.98802757      -5.84882736      -6.76692104    
   4.80691814       4.17804003      -6.81730604       5.79002094    
   3.40326619       3.61681247      -2.93581605      -8.44872665    
  0.954968452      0.451653481      -3.26768756      -8.32599640    
 Step           17 complete
   2.20560741       3.04209805      -4.10229158      -7.94803143    
  0.657021105       4.30798674      -6.07194853       6.56745338    
   4.28061819      0.851928949      -4.64580107       7.64307117    
   4.42383909       3.96605873      -4.73778105      -7.58639812    
   2.21982431       2.71577072     -0.597853720      -8.92426872    
   1.25522196      0.338583380      -8.32207584      -3.27766013    
   2.84475231       3.31133556      -5.84882736      -6.76692104    
   4.12518740       4.75704193      -6.81730604       5.79002094    
   3.10968447       2.77193975      -2.93581605      -8.44872665    
  0.628199697       1.28425312      -3.26768756       8.32599640    
 Step           18 complete
   1.79537821       2.24729490      -4.10229158      -7.94803143    
   4.98262420E-02   4.96473217      -6.07194853       6.56745338    
   3.81603813       1.61623609      -4.64580107       7.64307117    
   3.95006108       3.20741892      -4.73778105      -7.58639812    
   2.16003895       1.82334387     -0.597853720      -8.92426872    
  0.423014373       1.08173620E-02  -8.32207584      -3.27766013    
   2.25986958       2.63464355      -5.84882736      -6.76692104    
   3.44345689       4.66395617      -6.81730604      -5.79002094    
   2.81610274       1.92706704      -2.93581605      -8.44872665    
  0.301430941       2.11685276      -3.26768756       8.32599640    
 Step           19 complete
   1.38514900       1.45249176      -4.10229158      -7.94803143    
  0.657021105       4.37852240       6.07194853      -6.56745338    
   3.35145807       2.38054323      -4.64580107       7.64307117    
   3.47628307       2.44877911      -4.73778105      -7.58639812    
   2.10025358      0.930916965     -0.597853720      -8.92426872    
   1.25522196      0.338583380       8.32207584       3.27766013    
   1.67498684       1.95795143      -5.84882736      -6.76692104    
   2.76172638       4.08495426      -6.81730604      -5.79002094    
   2.52252102       1.08219433      -2.93581605      -8.44872665    
  0.628199697       2.94945240       3.26768756       8.32599640    
 Step           20 complete
  0.974919856      0.657688618      -4.10229158      -7.94803143    
   1.26421595       3.72177696       6.07194853      -6.56745338    
   2.88687801       3.14485025      -4.64580107       7.64307117    
   3.00250506       1.69013929      -4.73778105      -7.58639812    
   2.04046822       3.84900793E-02 -0.597853720      -8.92426872    
   2.08742952      0.666349411       8.32207584       3.27766013    
   1.09010410       1.28125930      -5.84882736      -6.76692104    
   2.07999587       3.50595212      -6.81730604      -5.79002094    
   2.22893929      0.237321645      -2.93581605      -8.44872665    
  0.954968452       3.78205204       3.26768756       8.32599640    
 Step           21 complete
  0.564690709       1.45249176      -4.10229158       7.94803143    
   1.87141085       3.06503153       6.07194853      -6.56745338    
   2.42229795       3.90915728      -4.64580107       7.64307117    
   2.52872705      0.931499481      -4.73778105      -7.58639812    
   1.98068285      0.930916965     -0.597853720       8.92426872    
   2.91963720      0.994115412       8.32207584       3.27766013    
  0.505221367      0.604567170      -5.84882736      -6.76692104    
   1.39826524       2.92694998      -6.81730604      -5.79002094    
   1.93535769       1.08219433      -2.93581605       8.44872665    
   1.28173721       4.61465168       3.26768756       8.32599640    
 Step           22 complete
  0.154461548       2.24729490      -4.10229158       7.94803143    
   2.47860575       2.40828609       6.07194853      -6.56745338    
   1.95771790       4.67346430      -4.64580107       7.64307117    
   2.05494905      0.172859654      -4.73778105      -7.58639812    
   1.92089748       1.82334387     -0.597853720       8.92426872    
   3.75184488       1.32188141       8.32207584       3.27766013    
   1.09010410       1.28125930       5.84882736       6.76692104    
  0.716534615       2.34794784      -6.81730604      -5.79002094    
   1.64177608       1.92706704      -2.93581605       8.44872665    
   1.60850596       4.55274868       3.26768756      -8.32599640    
 Step           23 complete
  0.564690709       3.04209805       4.10229158       7.94803143    
   3.08580065       1.75154078       6.07194853      -6.56745338    
   1.49313784       4.56222868      -4.64580107      -7.64307117    
   1.58117092      0.931499481      -4.73778105       7.58639812    
   1.86111212       2.71577072     -0.597853720       8.92426872    
   4.58405256       1.64964747       8.32207584       3.27766013    
   1.67498684       1.95795143       5.84882736       6.76692104    
   3.48040015E-02   1.76894569      -6.81730604      -5.79002094    
   1.34819448       2.77193975      -2.93581605       8.44872665    
   1.93527472       3.72014904       3.26768756      -8.32599640    
 Step           24 complete
  0.974919856       3.83690119       4.10229158       7.94803143    
   3.69299555       1.09479547       6.07194853      -6.56745338    
   1.02855778       3.79792166      -4.64580107      -7.64307117    
   1.10739279       1.69013929      -4.73778105       7.58639812    
   1.80132675       3.60819769     -0.597853720       8.92426872    
   4.58373976       1.97741354      -8.32207584       3.27766013    
   2.25986958       2.63464355       5.84882736       6.76692104    
  0.716534615       1.18994355       6.81730604      -5.79002094    
   1.05461287       3.61681247      -2.93581605       8.44872665    
   2.26204348       2.88754940       3.26768756      -8.32599640    
 Step           25 complete
   1.38514900       4.63170433       4.10229158       7.94803143    
   4.30019045      0.438050121       6.07194853      -6.56745338    
  0.563977659       3.03361464      -4.64580107      -7.64307117    
  0.633614659       2.44877911      -4.73778105       7.58639812    
   1.74154139       4.50062466     -0.597853720       8.92426872    
   3.75153208       2.30517960      -8.32207584       3.27766013    
   2.84475231       3.31133556       5.84882736       6.76692104    
   1.39826524      0.610941470       6.81730604      -5.79002094    
  0.761031270       4.46168518      -2.93581605       8.44872665    
   2.58881235       2.05494976       3.26768756      -8.32599640    
 Step           26 complete
   1.79537821       4.57349253       4.10229158      -7.94803143    
   4.90738535       1.09479547       6.07194853       6.56745338    
   9.93975475E-02   2.26930761      -4.64580107      -7.64307117    
  0.159836546       3.20741892      -4.73778105       7.58639812    
   1.68175602       4.60694838     -0.597853720      -8.92426872    
   2.91932440       2.63294554      -8.32207584       3.27766013    
   3.42963505       3.98802757       5.84882736       6.76692104    
   2.07999587       3.19393650E-02   6.81730604      -5.79002094    
  0.467449665       4.69344234      -2.93581605      -8.44872665    
   2.91558123       1.22235012       3.26768756      -8.32599640    
 Step           27 complete
   2.20560741       3.77868938       4.10229158      -7.94803143    
   4.48541975       1.75154078      -6.07194853       6.56745338    
  0.563977659       1.50500047       4.64580107      -7.64307117    
  0.633614659       3.96605873       4.73778105       7.58639812    
   1.62197065       3.71452141     -0.597853720      -8.92426872    
   2.08711672       2.96071148      -8.32207584       3.27766013    
   4.01451778       4.66471958       5.84882736       6.76692104    
   2.76172638      0.610941470       6.81730604       5.79002094    
  0.173868060       3.84856963      -2.93581605      -8.44872665    
   3.24235010      0.389750481       3.26768756      -8.32599640    
 Step           28 complete
   2.61583662       2.98388624       4.10229158      -7.94803143    
   3.87822485       2.40828609      -6.07194853       6.56745338    
   1.02855778      0.740693331       4.64580107      -7.64307117    
   1.10739279       4.72469854       4.73778105       7.58639812    
   1.56218529       2.82209444     -0.597853720      -8.92426872    
   1.25490916       3.28847742      -8.32207584       3.27766013    
   4.59940052       4.65858841       5.84882736      -6.76692104    
   3.44345689       1.18994355       6.81730604       5.79002094    
  0.467449665       3.00369692       2.93581605      -8.44872665    
   3.56911898       1.22235012       3.26768756       8.32599640    
 Step           29 complete
   3.02606583       2.18908310       4.10229158      -7.94803143    
   3.27102995       3.06503153      -6.07194853       6.56745338    
   1.49313784       1.50500047       4.64580107       7.64307117    
   1.58117092       4.51666164       4.73778105      -7.58639812    
   1.50239992       1.92966759     -0.597853720      -8.92426872    
  0.422701567       3.61624336      -8.32207584       3.27766013    
   4.81571674       3.98189640      -5.84882736      -6.76692104    
   4.12518740       1.76894569       6.81730604       5.79002094    
  0.761031270       2.15882421       2.93581605      -8.44872665    
   3.89588785       2.05494976       3.26768756       8.32599640    
 Step           30 complete
   3.43629503       1.39427996       4.10229158      -7.94803143    
   2.66383505       3.72177696      -6.07194853       6.56745338    
   1.95771790       2.26930761       4.64580107       7.64307117    
